G;2;H;6;R+2;0,23;1,5;Logement
E;3;F;6;R+2;0,23;1,5;Logement
F;3;G;6;R+2;0,23;1,5;Logement
G;3;H;6;R+2;0,23;1,5;Logement
E;4;F;6;R+2;0,23;1,5;Logement
F;4;G;6;R+2;0,23;1,5;Logement
G;4;H;6;R+2;0,23;1,5;Logement
E;5;F;6;R+2;0,23;1,5;Logement
F;5;G;6;R+2;0,23;1,5;Logement
G;5;H;6;R+2;0,23;1,5;Logement
E;6;F;8;R+2;0,23;1,5;Logement
F;6;G;8;R+2;0,23;1,5;Logement
G;6;H;8;R+2;0,23;1,5;Logement
E;8;F;9;R+2;0,23;1,5;Logement
F;8;G;9;R+2;0,23;1,5;Logement
G;8;H;9;R+2;0,23;1,5;Logement

